No,Section,Title,source,track,keywords,evidence,Link
38,AI agent,HiveMind: Contribution-Guided Online Prompt Optimization of LLM Multi-Agent Systems,arXiv preprint,Multiagent Systems (cs.MA),"AI agent, prompt optimization",https://arxiv.org/abs/2512.06432,http://arxiv.org/pdf/2512.06432v1
39,AI agent,LLM-based Personalized Portfolio Recommender: Integrating Large Language Models and Reinforcement Learning for Intelligent Investment Strategy Optimization,arXiv preprint,Machine Learning (cs.LG),"AI agent, deep RL, portfolio recommendation",https://arxiv.org/abs/2512.12922,https://arxiv.org/pdf/2512.12922v1
40,AI agent,Alpha-R1: Alpha Screening with LLM Reasoning via Reinforcement Learning,arXiv preprint,"Trading and Market Microstructure (q-fin.TR); Artificial Intelligence (cs.AI); Computational Engineering, Finance, and Science (cs.CE); Machine Learning (cs.LG)","AI agent, deep RL",https://arxiv.org/abs/2512.23515,https://arxiv.org/pdf/2512.23515v1
41,AI agent,Autonomous Market Intelligence: Agentic AI Nowcasting Predicts Stock Returns,arXiv preprint,General Finance (q-fin.GN); Portfolio Management (q-fin.PM); Trading and Market Microstructure (q-fin.TR),"AI agent, nowcasting",https://arxiv.org/abs/2601.11958,https://arxiv.org/pdf/2601.11958v1
42,AI agent,"FinRpt: Dataset, Evaluation System and LLM-based Multi-agent Framework for Equity Research Report Generation",arXiv preprint,Computation and Language (cs.CL); Artificial Intelligence (cs.AI),"AI agent, dataset, report generation",https://arxiv.org/abs/2511.07322,https://arxiv.org/pdf/2511.07322
43,AI agent,H3M-SSMoEs: Hypergraph-based Multimodal Learning with LLM Reasoning and Style-Structured Mixture of Experts,arXiv preprint,Artificial Intelligence (cs.AI),"hypergraph, multimodal learning, MoE",https://arxiv.org/abs/2510.25091,https://arxiv.org/pdf/2510.25091
44,AI agent,"3S-Trader: A Multi-LLM Framework for Adaptive Stock Scoring, Strategy, and Selection in Portfolio Optimization",arXiv preprint,Portfolio Management (q-fin.PM),"AI agent, multi-LLM",https://arxiv.org/abs/2510.17393,https://arxiv.org/pdf/2510.17393
45,AI agent,AlphaQuanter: An End-to-End Tool-Augmented Agentic Reinforcement Learning Framework for Stock Trading,arXiv preprint,"Computational Engineering, Finance, and Science (cs.CE)","AI agent, deep RL",https://arxiv.org/abs/2510.14264,https://arxiv.org/pdf/2510.14264
46,State space model,ATLAS: Adaptive Trading with LLM AgentS Through Dynamic Prompt Optimization and Multi-Agent Coordination,arXiv preprint,Trading and Market Microstructure (q-fin.TR); Artificial Intelligence (cs.AI),AI agent,https://arxiv.org/abs/2510.15949,https://arxiv.org/pdf/2510.15949
47,State space model,Spatio-Temporal Wavelet Enhanced Attention Mamba for Stock Price Forecasting,CIKM 2025,Proceedings article,spatiotemporal time series,https://doi.org/10.1145/3746252.3761399,https://dl.acm.org/doi/pdf/10.1145/3746252.3761399
48,State space model,FinD3: A Dual 3D State Space Model with Dynamic Hypergraph for Financial Stock Prediction,CIKM 2025,Proceedings article,state space model,https://doi.org/10.1145/3746252.3761239,https://dl.acm.org/doi/10.1145/3746252.3761239
49,State space model,MaGNet: A Mamba Dual-Hypergraph Network for Stock Prediction via Temporal-Causal and Global Relational Learning,arXiv preprint,Machine Learning (cs.LG); Artificial Intelligence (cs.AI),"state space model, hypergraph",https://arxiv.org/abs/2511.00085,https://arxiv.org/pdf/2511.00085
50,Generative model (other than transformer-based),S^3G: Stock State Space Graph for Enhanced Stock Trend Prediction,arXiv preprint,"Computational Engineering, Finance, and Science (cs.CE)",state space model,https://arxiv.org/abs/2603.24236,http://arxiv.org/pdf/2603.24236v1
51,Generative model (other than transformer-based),STABLE: Shift-Tolerant Allocation via Black-Litterman Using Conditional Diffusion Estimates,ICLR 2026,Poster; Primary Area: learning on time series and dynamical systems,portfolio allocation; time-series estimation; generative modeling,https://openreview.net/forum?id=VltZQpfarw,https://openreview.net/pdf?id=VltZQpfarw
52,Generative model (other than transformer-based),STORM: A Spatio-Temporal Factor Model Based on Dual Vector Quantized Variational Autoencoders for Financial Trading,WSDM 2026,Proceedings article,"factor model, VAE",https://doi.org/10.1145/3773966.3777972,https://doi.org/10.1145/3773966.3777972
53,Generative model (other than transformer-based),Diffusion Models for Risk-Aware Portfolio Optimization,WSDM 2026,Proceedings article,diffusion model,https://doi.org/10.1145/3773966.3777955,https://doi.org/10.1145/3773966.3777955
54,Generative model (other than transformer-based),Controllable Financial Market Generation with Diffusion Guided Meta Agent,arXiv preprint,"Computational Engineering, Finance, and Science (cs.CE); Trading and Market Microstructure (q-fin.TR)","conditional diffusion model, generative model",https://arxiv.org/abs/2408.12991,https://arxiv.org/pdf/2408.12991
55,Generative model (other than transformer-based),Forecasting implied volatility surface with generative diffusion models,arXiv preprint,Computational Finance (q-fin.CP); Mathematical Finance (q-fin.MF),"generative diffusion models, implied volatility",https://arxiv.org/abs/2511.07571,https://arxiv.org/pdf/2511.07571v1
56,Generative model (other than transformer-based),Generative AI-enhanced Sector-based Investment Portfolio Construction,arXiv preprint,"Portfolio Management (q-fin.PM); Artificial Intelligence (cs.AI); Computational Engineering, Finance, and Science (cs.CE); Computational Finance (q-fin.CP)","generative AI, portfolio construction",https://arxiv.org/abs/2512.24526,https://arxiv.org/pdf/2512.24526v1
57,Generative model (other than transformer-based),TF-CoDiT: Conditional Time Series Synthesis with Diffusion Transformers for Treasury Futures,arXiv preprint,Machine Learning (cs.LG); Artificial Intelligence (cs.AI),"diffusion transformers, generative model",https://arxiv.org/abs/2601.11880,https://arxiv.org/pdf/2601.11880v1
58,Generative model (other than transformer-based),MarketGANs: Multivariate financial time-series data augmentation using generative adversarial networks,arXiv preprint,Statistical Finance (q-fin.ST); Machine Learning (cs.LG); Econometrics (econ.EM),"GANs, data augmentation",https://arxiv.org/abs/2601.17773,https://arxiv.org/pdf/2601.17773v1
59,Numerical optimization,IKNet: Interpretable Stock Price Prediction via Keyword-Guided Integration of News and Technical Indicators,arXiv preprint,"Computational Engineering, Finance, and Science (cs.CE); Artificial Intelligence (cs.AI)",sentiment analysis,https://arxiv.org/abs/2510.07661,https://arxiv.org/pdf/2510.07661
60,Numerical optimization,Yau's Affine-Normal Descent for Large-Scale Unrestricted Higher-Moment Portfolio Optimization,arXiv preprint,"Portfolio Management (q-fin.PM); Computational Engineering, Finance, and Science (cs.CE); Optimization and Control (math.OC); Computational Finance (q-fin.CP)",numerical optimization,https://arxiv.org/abs/2604.25378,https://arxiv.org/pdf/2604.25378
61,Numerical optimization,Signed network models for dimensionality reduction of portfolio optimization,arXiv preprint,"Combinatorics (math.CO); Computational Engineering, Finance, and Science (cs.CE)",portfolio optimization,https://arxiv.org/abs/2602.21362,https://arxiv.org/pdf/2602.21362v1
62,Numerical optimization,LOBERT: Generative AI Foundation Model for Limit Order Book Messages,arXiv preprint,Artificial Intelligence (cs.AI),"foundatino model, limit order book",https://arxiv.org/abs/2511.12563,https://arxiv.org/pdf/2511.12563v1
63,Numerical optimization,T-LLM: Teaching Large Language Models to Forecast Time Series via Temporal Distillation,arXiv preprint,Machine Learning (cs.LG); Artificial Intelligence (cs.AI),"knowledge distillation, fine-tuning of large models",https://arxiv.org/abs/2602.01937,https://arxiv.org/pdf/2602.01937
64,Numerical optimization,Multi-Modal Time Series Prediction via Mixture of Modulated Experts,arXiv preprint,Machine Learning (cs.LG); Artificial Intelligence (cs.AI),"mixture of experts, foundation model",https://arxiv.org/abs/2601.21547,https://arxiv.org/pdf/2601.21547
65,Numerical optimization,Scaling Conditional Autoencoders for Portfolio Optimization via Uncertainty-Aware Factor Selection,arXiv preprint,Portfolio Management (q-fin.PM),"conditional autoencoder, time series foundtion model",https://arxiv.org/abs/2511.17462,https://arxiv.org/pdf/2511.17462
66,Numerical optimization,Bayesian Parametric Portfolio Policies,arXiv preprint,Portfolio Management (q-fin.PM),"Bayesian optimization, portfolio optimization",https://arxiv.org/abs/2602.21173,https://arxiv.org/pdf/2602.21173v1
67,Numerical optimization,Equilibrium Portfolio Selection under Utility-Variance Analysis of Log Returns in Incomplete Markets,arXiv preprint,Portfolio Management (q-fin.PM); Optimization and Control (math.OC),"portfolio selection, utility-variance analysis",https://arxiv.org/abs/2511.05861,https://arxiv.org/pdf/2511.05861v1
68,Numerical optimization,Sharpe-Driven Stock Selection and Liquidiy-Constrained Portfolio Optimization: Evidence from the Chinese Equity Market,arXiv preprint,Operating Systems (cs.OS),"portfolio optimization, liquidity constraints",https://arxiv.org/abs/2511.13251,https://arxiv.org/pdf/2511.13251v1
69,Numerical optimization,Exploratory Mean-Variance with Jumps: An Equilibrium Approach,arXiv preprint,Portfolio Management (q-fin.PM); Machine Learning (stat.ML),"mean-variance optimization, jump processes",https://arxiv.org/abs/2512.09224,https://arxiv.org/pdf/2512.09224v1
70,Numerical optimization,Neural Nonlinear Shrinkage of Covariance Matrices for Minimum Variance Portfolio Optimization,arXiv preprint,Machine Learning (cs.LG); Signal Processing (eess.SP),"covariance shrinkage, neural networks",https://arxiv.org/abs/2601.15597,https://arxiv.org/pdf/2601.15597v1
71,Numerical optimization,Smart Predict--then--Optimize Paradigm for Portfolio Optimization in Real Markets,arXiv preprint,Portfolio Management (q-fin.PM),"predict-then-optimize, portfolio optimization",https://arxiv.org/abs/2601.04062,https://arxiv.org/pdf/2601.04062v2
72,Sequence model,Factor Dimensionality and the Bias-Variance Tradeoff in Diffusion Portfolio Models,arXiv preprint,"Computational Engineering, Finance, and Science (cs.CE)",conditional diffusion model,https://arxiv.org/abs/2603.10385,https://arxiv.org/pdf/2603.10385v1
73,Sequence model,A Hybrid Quantum-Classical Framework for Financial Volatility Forecasting Based on Quantum Circuit Born Machines,arXiv preprint,Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Quantum Physics (quant-ph),"quantum computing, sequence model",https://arxiv.org/abs/2603.09789,https://arxiv.org/pdf/2603.09789v1
74,Sequence model,Stock Market Prediction Using Node Transformer Architecture Integrated with BERT Sentiment Analysis,arXiv preprint,Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Statistical Finance (q-fin.ST),node transformer,https://arxiv.org/abs/2603.05917,https://arxiv.org/pdf/2603.05917v1
75,Sequence model,Adaptive Regime-Aware Stock Price Prediction Using Autoencoder-Gated Dual Node Transformers with Reinforcement Learning Control,arXiv preprint,Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Statistical Finance (q-fin.ST),"autoencoder, node transformer",https://arxiv.org/abs/2603.19136,https://arxiv.org/pdf/2603.19136v1
76,Sequence model,DYCOR: Capturing Hidden Stock Relationships for Stock Trend Prediction,CIKM 2025,Proceedings article,"dynamic stock clustering, correlation-aware training",https://doi.org/10.1145/3746252.3761413,https://dl.acm.org/doi/10.1145/3746252.3761413
77,Sequence model,Neural Instrumented Factorization: Learning Dynamic Asset Pricing Factors and Loadings through Characteristics Control,CIKM 2025,Proceedings article,spatiotemporal Transformer,https://doi.org/10.1145/3746252.3761049,https://dl.acm.org/doi/10.1145/3746252.3761049
78,Sequence model,KAN vs LSTM Performance in Time Series Forecasting,arXiv preprint,Machine Learning (cs.LG); Artificial Intelligence (cs.AI),"Kolmogorov-Arnold Networks, LSTM, time series forecasting",https://arxiv.org/abs/2511.18613,https://arxiv.org/pdf/2511.18613v1
79,Sequence model,StockMem: An Event-Reflection Memory Framework for Stock Forecasting,arXiv preprint,Artificial Intelligence (cs.AI); Machine Learning (cs.LG),"memory framework, event-driven forecasting",https://arxiv.org/abs/2512.02720,https://arxiv.org/pdf/2512.02720v1
80,Sequence model,Quantum Temporal Convolutional Neural Networks for Cross-Sectional Equity Return Prediction: A Comparative Benchmark Study,arXiv preprint,Machine Learning (cs.LG); Quantum Physics (quant-ph),"quantum computing, TCN",https://arxiv.org/abs/2512.06630,http://arxiv.org/pdf/2512.06630v1
81,Sequence model,Stochastic Volatility Modelling with LSTM Networks: A Hybrid Approach for S&P 500 Index Volatility Forecasting,arXiv preprint,Trading and Market Microstructure (q-fin.TR); Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Neural and Evolutionary Computing (cs.NE); Portfolio Management (q-fin.PM),"stochastic volatility, LSTM",https://arxiv.org/abs/2512.12250,https://arxiv.org/pdf/2512.12250v1
82,Sequence model,A Learnable Wavelet Transformer for Long-Short Equity Trading and Risk-Adjusted Return Optimization,arXiv preprint,Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Computational Finance (q-fin.CP),"wavelet transform, sequence model",https://arxiv.org/abs/2601.13435,https://arxiv.org/pdf/2601.13435v1
83,Sequence model,Lead-LagNet: Exploiting Lead-Lag Dependencies for Cross-Series Temporal Prediction,CIKM 2025,Proceedings article,"lead-lag dependencies, temporal prediction",https://doi.org/10.1145/3746252.3761153,https://dl.acm.org/doi/10.1145/3746252.3761153
84,Pretrained model,Multi-period Learning for Financial Time Series Forecasting,arXiv preprint,Statistical Finance (q-fin.ST); Artificial Intelligence (cs.AI); Machine Learning (cs.LG),spatiotemporal Transformer,https://arxiv.org/abs/2511.08622,https://arxiv.org/pdf/2511.08622
85,Pretrained model,Empowering Time Series Analysis with Large-Scale Multimodal Pretraining,arXiv preprint,Machine Learning (cs.LG),"time series foundation model, multimodal foundation model",https://arxiv.org/abs/2602.05646,https://arxiv.org/pdf/2602.05646
86,Pretrained model,FinAnchor: Aligned Multi-Model Representations for Financial Prediction,arXiv preprint,Computation and Language (cs.CL),"representation learning, multi-model",https://arxiv.org/abs/2602.20859,https://arxiv.org/pdf/2602.20859
87,Pretrained model,On Evaluating Loss Functions for Stock Ranking: An Empirical Analysis with Transformer Model,CIKM 2025,Proceedings article,"stock ranking, loss functions",https://doi.org/10.1145/3746252.3760812,https://dl.acm.org/doi/10.1145/3746252.3760812
88,Pretrained model,RETuning: Upgrading Inference-Time Scaling for Stock Movement Prediction with Large Language Models,arXiv preprint,Computation and Language (cs.CL),"LLM tuning, inference-time scaling",https://arxiv.org/abs/2510.21604,https://arxiv.org/pdf/2510.21604
89,Others,CoRA: Covariate-Aware Adaptation of Time Series Foundation Models,arXiv preprint,Machine Learning (cs.LG),fine-tuning foundation model,https://arxiv.org/abs/2510.12681,https://arxiv.org/pdf/2510.12681
90,Others,History Is Not Enough: An Adaptive Dataflow System for Financial Time-Series Synthesis,arXiv preprint,Artificial Intelligence (cs.AI); Trading and Market Microstructure (q-fin.TR),"workflow automation, data augmentation",https://arxiv.org/abs/2601.10143,https://arxiv.org/pdf/2601.10143
91,Others,STRAPSim: A Portfolio Similarity Metric for ETF Alignment and Portfolio Trades,arXiv preprint,Statistical Finance (q-fin.ST); Machine Learning (cs.LG),"similarity learning, quantitative metric",https://arxiv.org/abs/2509.24151,https://arxiv.org/pdf/2509.24151
92,Others,FinSentLLM: Multi-LLM and Structured Semantic Signals for Enhanced Financial Sentiment Forecasting,arXiv preprint,"Computational Engineering, Finance, and Science (cs.CE)","financial sentiment analysis, LLM embedding",https://arxiv.org/abs/2509.12638,https://arxiv.org/pdf/2509.12638
93,Others,AlphaGAT: A Two-Stage Learning Approach for Adaptive Portfolio Selection,IJCAI 2025,Main Track,MTA: Finance; ML: Reinforcement learning,https://doi.org/10.24963/ijcai.2025/834,https://www.ijcai.org/proceedings/2025/0834.pdf
94,Others,COGRASP: Co-Occurrence Graph Based Stock Price Forecasting,IJCAI 2025,Main Track,MTA: Finance; DM: Applications,https://doi.org/10.24963/ijcai.2025/837,https://www.ijcai.org/proceedings/2025/0837.pdf
95,Others,Hermes: A Multi-Scale Spatial-Temporal Hypergraph Network for Stock Time Series Forecasting,arXiv preprint,Machine Learning (cs.LG),"hypergraph, time series prediction",https://arxiv.org/abs/2509.23668,https://arxiv.org/pdf/2509.23668
96,Others,HINTS: Extraction of Human Insights from Time-Series Without External Sources,arXiv preprint,Machine Learning (cs.LG); Artificial Intelligence (cs.AI),opinion dynamics model,https://arxiv.org/abs/2512.23755,https://arxiv.org/pdf/2512.23755
97,Others,Web-Mined Hypothesis Generation for Financial Markets: An Autonomous Backtesting Framework,WSDM 2026,Proceedings article,hypothesis generation,https://doi.org/10.1145/3773966.3785511,https://doi.org/10.1145/3773966.3785511
98,Others,A hybrid wavelet-based physics-informed neural network for portfolio management,arXiv preprint,Optimization and Control (math.OC),"wavelet, option pricing",https://arxiv.org/abs/2603.21834,http://arxiv.org/pdf/2603.21834v1
99,Others,FinRL-X: An AI-Native Modular Infrastructure for Quantitative Trading,arXiv preprint,Trading and Market Microstructure (q-fin.TR); Machine Learning (cs.LG); Computational Finance (q-fin.CP),trading architecture,https://arxiv.org/abs/2603.21330,http://arxiv.org/pdf/2603.21330v1
100,Others,A Novel approach to portfolio construction,arXiv preprint,Portfolio Management (q-fin.PM); Machine Learning (cs.LG); Computational Finance (q-fin.CP); Risk Management (q-fin.RM); Machine Learning (stat.ML),portfolio construction,https://arxiv.org/abs/2602.03325,https://arxiv.org/pdf/2602.03325v1
101,Others,GAPNet: Plug-in Jointly Learning Task-Specific Graph for Dynamic Stock Relation,arXiv preprint,Machine Learning (cs.LG); Artificial Intelligence (cs.AI),"graph neural network, representation learning",https://arxiv.org/abs/2602.00888,http://arxiv.org/pdf/2602.00888v1
102,Others,Adaptive Acquisition Selection for Bayesian Optimization with Large Language Models,arXiv preprint,Machine Learning (cs.LG); Artificial Intelligence (cs.AI),"Bayesian optimization, zero-shot learning",https://arxiv.org/abs/2602.07904,https://arxiv.org/pdf/2602.07904v1
